0	0	8	0	47	4
0	0	9	0	48	7
0	0	8	1	41	4
0	0	9	1	55	7
0	0	8	2	42	7
0	0	9	2	43	4
0	0	8	3	51	4
0	0	9	3	42	5
0	0	8	4	46	5
0	0	9	4	46	4
0	0	8	5	42	5
0	0	9	5	48	4
0	0	8	6	44	6
0	0	9	6	48	7
0	0	8	7	39	5
0	0	9	7	50	5
0	0	8	8	46	6
0	0	9	8	50	4
0	0	8	9	43	6
0	0	9	9	43	6
0	0	8	10	43	5
0	0	9	10	47	5
0	0	8	11	42	7
0	0	9	11	43	7
0	0	8	12	47	5
0	0	9	12	49	4
0	0	8	13	43	5
0	0	9	13	50	7
0	0	8	14	43	4
0	0	9	14	49	5
0	0	8	15	42	7
0	0	9	15	47	7
0	0	8	16	37	7
0	0	9	16	39	7
0	0	8	17	51	5
0	0	9	17	46	5
0	0	8	18	38	6
0	0	9	18	48	4
0	0	8	19	45	5
0	0	9	19	47	7
0	0	8	20	58	4
0	0	9	20	53	4
0	0	8	21	50	5
0	0	9	21	54	4
0	0	8	22	49	4
0	0	9	22	56	4
0	0	8	23	42	5
0	0	9	23	51	7
0	0	8	24	36	5
0	0	9	24	42	7
0	0	8	25	44	7
0	0	9	25	41	7
0	0	8	26	47	7
0	0	9	26	40	7
0	0	8	27	42	7
0	0	9	27	55	4
0	0	8	28	41	7
0	0	9	28	42	3
0	0	8	29	43	5
0	0	9	29	41	7
0	0	8	30	38	5
0	0	9	30	45	5
0	0	8	31	47	4
0	0	9	31	44	7
0	0	8	32	43	5
0	0	9	32	39	5
0	0	8	33	43	5
0	0	9	33	42	7
0	0	8	34	39	7
0	0	9	34	46	7
0	0	8	35	45	7
0	0	9	35	37	5
0	0	8	36	41	7
0	0	9	36	38	5
0	0	8	37	46	5
0	0	9	37	49	7
0	0	8	38	42	5
0	0	9	38	44	4
0	0	8	39	32	5
0	0	9	39	43	4
0	0	8	40	46	6
0	0	9	40	48	6
0	0	8	41	40	5
0	0	9	41	42	5
0	0	8	42	45	5
0	0	9	42	46	4
0	0	8	43	50	5
0	0	9	43	51	4
0	0	8	44	47	4
0	0	9	44	44	7
0	0	8	45	41	7
0	0	9	45	49	4
0	0	8	46	34	5
0	0	9	46	44	4
0	0	8	47	39	7
0	0	9	47	44	5
0	0	8	48	35	7
0	0	9	48	47	4
0	0	8	49	39	5
0	0	9	49	44	6
0	0	8	50	41	7
0	0	9	50	48	7
0	0	8	51	44	5
0	0	9	51	44	6
0	0	8	52	51	7
0	0	9	52	48	5
0	0	8	53	48	5
0	0	9	53	49	5
0	0	8	54	47	7
0	0	9	54	48	7
0	0	8	55	49	7
0	0	9	55	53	6
0	0	8	56	50	6
0	0	9	56	55	7
0	0	8	57	42	5
0	0	9	57	43	5
0	0	8	58	40	7
0	0	9	58	45	6
0	0	8	59	36	4
0	0	9	59	45	4
0	0	8	60	51	5
0	0	9	60	50	5
0	0	8	61	41	7
0	0	9	61	46	7
0	0	8	62	46	5
0	0	9	62	47	4
0	0	8	63	47	7
0	0	9	63	56	4
