#portID	slaveID	chipID	channelID	vth_t1	vth_t2	vth_e
0	0	8	0	20	20	15
0	0	8	1	20	20	15
0	0	8	2	20	20	15
0	0	8	3	20	20	15
0	0	8	4	20	20	15
0	0	8	5	20	20	15
0	0	8	6	20	20	15
0	0	8	7	20	20	15
0	0	8	8	20	20	15
0	0	8	9	20	20	15
0	0	8	10	20	20	15
0	0	8	11	20	20	15
0	0	8	12	20	20	15
0	0	8	13	20	20	15
0	0	8	14	20	20	15
0	0	8	15	20	20	15
0	0	8	16	20	20	15
0	0	8	17	20	20	15
0	0	8	18	20	20	15
0	0	8	19	20	20	15
0	0	8	20	20	20	15
0	0	8	21	20	20	15
0	0	8	22	20	20	15
0	0	8	23	20	20	15
0	0	8	24	20	20	15
0	0	8	25	20	20	15
0	0	8	26	20	20	15
0	0	8	27	20	20	15
0	0	8	28	20	20	15
0	0	8	29	20	20	15
0	0	8	30	20	20	15
0	0	8	31	20	20	15
0	0	8	32	20	20	15
0	0	8	33	20	20	15
0	0	8	34	20	20	15
0	0	8	35	20	20	15
0	0	8	36	20	20	15
0	0	8	37	20	20	15
0	0	8	38	20	20	15
0	0	8	39	20	20	15
0	0	8	40	20	20	15
0	0	8	41	20	20	15
0	0	8	42	20	20	15
0	0	8	43	20	20	15
0	0	8	44	20	20	15
0	0	8	45	20	20	15
0	0	8	46	20	20	15
0	0	8	47	20	20	15
0	0	8	48	20	20	15
0	0	8	49	20	20	15
0	0	8	50	20	20	15
0	0	8	51	20	20	15
0	0	8	52	20	20	15
0	0	8	53	20	20	15
0	0	8	54	20	20	15
0	0	8	55	20	20	15
0	0	8	56	20	20	15
0	0	8	57	20	20	15
0	0	8	58	20	20	15
0	0	8	59	20	20	15
0	0	8	60	20	20	15
0	0	8	61	20	20	15
0	0	8	62	20	20	15
0	0	8	63	20	20	15
0	0	9	0	20	20	15
0	0	9	1	20	20	15
0	0	9	2	20	20	15
0	0	9	3	20	20	15
0	0	9	4	20	20	15
0	0	9	5	20	20	15
0	0	9	6	20	20	15
0	0	9	7	20	20	15
0	0	9	8	20	20	15
0	0	9	9	20	20	15
0	0	9	10	20	20	15
0	0	9	11	20	20	15
0	0	9	12	20	20	15
0	0	9	13	20	20	15
0	0	9	14	20	20	15
0	0	9	15	20	20	15
0	0	9	16	20	20	15
0	0	9	17	20	20	15
0	0	9	18	20	20	15
0	0	9	19	20	20	15
0	0	9	20	20	20	15
0	0	9	21	20	20	15
0	0	9	22	20	20	15
0	0	9	23	20	20	15
0	0	9	24	20	20	15
0	0	9	25	20	20	15
0	0	9	26	20	20	15
0	0	9	27	20	20	15
0	0	9	28	20	20	15
0	0	9	29	20	20	15
0	0	9	30	20	20	15
0	0	9	31	20	20	15
0	0	9	32	20	20	15
0	0	9	33	20	20	15
0	0	9	34	20	20	15
0	0	9	35	20	20	15
0	0	9	36	20	20	15
0	0	9	37	20	20	15
0	0	9	38	20	20	15
0	0	9	39	20	20	15
0	0	9	40	20	20	15
0	0	9	41	20	20	15
0	0	9	42	20	20	15
0	0	9	43	20	20	15
0	0	9	44	20	20	15
0	0	9	45	20	20	15
0	0	9	46	20	20	15
0	0	9	47	20	20	15
0	0	9	48	20	20	15
0	0	9	49	20	20	15
0	0	9	50	20	20	15
0	0	9	51	20	20	15
0	0	9	52	20	20	15
0	0	9	53	20	20	15
0	0	9	54	20	20	15
0	0	9	55	20	20	15
0	0	9	56	20	20	15
0	0	9	57	20	20	15
0	0	9	58	20	20	15
0	0	9	59	20	20	15
0	0	9	60	20	20	15
0	0	9	61	20	20	15
0	0	9	62	20	20	15
0	0	9	63	20	20	15
